iteration,accuracy,training_time,n_components,gamma,sampling,learning_rate,batch_size,max_iter
0,0.394599111390207,5.0354673862457275,1000,0.001,uniform,0.05,64,100
3,0.7063991763472036,10.560323079427084,1000,0.1,uniform,0.2,64,300
6,0.1952077771720566,1.555569092432658,500,0.001,uniform,0.005,256,100
8,0.48379711812739495,8.368542273839315,250,0.1,kmeans,0.01,32,100
9,0.7087992965632565,14.497968037923178,1000,0.05,uniform,0.001,32,200
10,0.47320199825581105,5.001595973968506,500,0.005,uniform,0.001,128,300
11,0.7085992165312436,16.752065420150757,1000,0.05,uniform,0.01,256,500
13,0.21340197746765174,6.528232097625732,750,0.0001,uniform,0.05,32,100
17,0.3472000677895633,0.8824632167816162,250,0.001,uniform,0.01,32,100
18,0.41800043352674005,3.1448907057444253,250,0.1,uniform,0.05,256,200
20,0.5434010436808197,2.1591223080952964,500,0.01,uniform,0.005,64,100
21,0.16281041510785477,11.568758885065714,750,0.0001,uniform,0.01,128,500
22,0.5422011636088148,4.74782927831014,500,0.01,uniform,0.01,128,300
24,0.2226049387961543,10.613100131352743,750,0.0005,uniform,0.2,256,500
25,0.4927986791597263,6.916039943695068,500,0.005,uniform,0.005,64,200
26,0.6808006946029762,32.490522940953575,800,0.1,uniform,0.0025,128,500
27,0.462605078024011,2.3016440073649087,600,0.005,uniform,0.02,256,100
28,0.600996967473252,12.45943021774292,600,0.05,uniform,0.001,64,500
30,0.6782009744509682,8.294702609380087,800,0.02,uniform,0.1,128,200
31,0.708599336555258,15.770586967468262,1000,0.05,uniform,0.005,256,500
33,0.6007971274892681,13.835600852966309,600,0.02,uniform,0.0005,64,500
34,0.5144000011522305,2.120805819829305,400,0.02,uniform,0.1,256,100
36,0.7049987361471283,21.1283966700236,1000,0.02,uniform,0.01,64,500
37,0.6500001320264158,13.84392793973287,800,0.01,uniform,0.0025,128,300
38,0.644802852154659,8.138907035191854,800,0.025,uniform,0.002,256,300
40,0.6812003745709441,8.250959714253744,800,0.2,uniform,0.1,32,100
42,0.705799776419266,8.7888871828715,1000,0.025,uniform,0.4,128,200
43,0.516600161360285,7.13645601272583,400,0.05,uniform,0.0025,32,500
45,0.7087992965632565,21.008786916732788,1000,0.05,uniform,0.001,32,300
47,0.5320023630327956,2.271493117014567,500,0.01,uniform,0.01,256,100
48,0.5157997212082193,17.90664529800415,400,0.1,uniform,0.4,64,500
