iteration,accuracy,training_time,n_components,gamma,learning_rate,batch_size,max_iter
0,0.1951017837236633,14.918920755386353,5000,0.001,0.001,512,100
1,0.06480057123888754,11.259876728057861,750,0.5,0.1,256,300
2,0.1451021226897735,2.868278423945109,100,0.0001,0.05,32,300
3,0.18120072355165928,1.6790086428324382,100,0.005,0.001,512,200
4,0.08290007165083635,19.382803440093994,2000,1.0,0.5,128,200
5,0.6235013423357932,130.77554790178934,1500,0.01,0.005,32,1000
6,0.04699975096489853,43.3054788907369,500,1e-05,0.5,64,1000
7,0.3819993577042167,3.1710167725880942,500,0.001,0.2,128,100
8,0.05609985113688334,16.760046084721882,1500,1.0,0.5,512,300
9,0.6186016022118108,13.523025751113892,1500,0.01,0.05,32,100
10,0.052800391016906124,5.5270412762959795,100,0.05,0.001,512,500
11,0.33439834685328157,33.46055237452189,1500,0.0005,0.5,256,500
12,0.11759988236376127,3.7501434485117593,500,0.05,0.001,128,100
13,0.5983992820397817,12.117609898249308,750,0.005,0.01,128,300
14,0.04980039095691213,9.466747999191284,100,0.5,0.2,32,1000
15,0.35580048706730305,6.883615970611572,750,0.01,0.005,512,200
16,0.3824991077392082,12.429346323013306,750,0.001,0.2,256,300
17,0.1738995135266376,27.541065375010174,1500,0.0001,0.001,64,300
18,0.08740010173782825,15.876880645751953,5000,0.5,0.05,512,100
19,0.08090011160684155,16.034337838490803,5000,0.5,0.01,512,100
20,0.3105008761224053,12.691897630691528,500,0.001,0.1,512,500
21,0.2830981358483779,28.453171571095783,1500,0.0005,0.1,512,500
22,0.04960019097290653,3.865223248799642,750,1.0,0.001,128,100
23,0.04610014090791203,20.36254342397054,3000,1.0,0.001,512,200
24,0.3132998962763703,7.696096658706665,100,0.001,0.2,256,500
25,0.3227981466412988,42.50918539365133,750,0.0005,0.02,256,1000
26,0.6002012318808366,13.474558432896933,1500,0.01,0.1,32,100
27,0.5709008213358828,34.878545681635536,1200,0.01,0.2,64,300
28,0.26069904530945,5.475015481313069,1200,0.0005,0.02,512,100
29,0.4436008687851389,67.8546633720398,1800,0.0025,0.0025,512,1000
30,0.48590089962805516,20.282816012700398,600,0.005,0.2,256,500
31,0.23099982463753274,44.947127978006996,500,0.02,0.4,256,1000
32,0.4608000392120795,26.826747337977093,600,0.0025,0.025,256,500
33,0.3199985265473158,26.326681693394978,500,0.0005,0.2,64,500
34,0.48249932971701487,13.47109325726827,1200,0.002,0.05,64,100
35,0.24770026492751254,14.871965249379477,400,0.02,0.025,128,500
36,0.6422005427897318,133.6753400961558,1200,0.005,0.05,64,1000
37,0.7000999140105972,29.76891263326009,1800,0.005,0.005,64,200
38,0.6882001337506276,22.004589319229126,1800,0.005,0.1,128,200
39,0.37989983761423535,30.396771907806396,400,0.01,0.025,128,1000
40,0.3351987568282923,44.8399076461792,1500,0.0005,0.005,128,500
41,0.2811979758263769,12.352813561757406,1500,0.0005,0.02,512,200
42,0.42710092844917363,14.543396790822348,600,0.01,0.01,128,300
43,0.5731021212499176,22.720942974090576,1500,0.01,0.2,256,300
44,0.3279989966603139,23.763029019037884,750,0.0005,0.4,128,500
45,0.39189893794418434,61.44519329071045,1200,0.001,0.0025,64,500
46,0.4198002283731672,119.8299736181895,1200,0.02,0.05,64,1000
47,0.4224998384661502,8.724431037902832,1800,0.002,0.0025,256,100
48,0.39939905808217296,22.20801067352295,750,0.001,0.02,64,300
49,0.44750077887212836,16.54970900217692,400,0.005,0.025,256,300
