sample_size,method,training_time,memory_usage_mb,accuracy
100,Exact RBF Kernel,0.005706787109375,0.640625,0.074
100,RFF Approximation,0.15257000923156738,15.890625,0.056
100,Nyström Approximation,0.024236679077148438,0.09375,0.185
200,Exact RBF Kernel,0.0168759822845459,0.015625,0.092
200,RFF Approximation,0.22266793251037598,5.34375,0.076
200,Nyström Approximation,0.043901920318603516,0.6875,0.244
500,Exact RBF Kernel,0.09194803237915039,0.078125,0.105
500,RFF Approximation,0.4635918140411377,29.859375,0.1
500,Nyström Approximation,0.17062091827392578,2.925872802734375,0.29
1000,Exact RBF Kernel,0.3452799320220947,0.34375,0.274
1000,RFF Approximation,0.9912550449371338,47.03125,0.125
1000,Nyström Approximation,0.5039708614349365,1.8125,0.408
2000,Exact RBF Kernel,1.3523900508880615,0.9375,0.347
2000,RFF Approximation,1.7283389568328857,49.1875,0.16
2000,Nyström Approximation,0.8871669769287109,0.171875,0.466
5000,Exact RBF Kernel,7.789236068725586,28.796875,0.56
5000,RFF Approximation,4.545166730880737,127.703125,0.213
5000,Nyström Approximation,2.1367270946502686,67.21875,0.465
